MessageDate,arbitrarytext,coin,difficulty,height,minedat,orphanedyn,paidoutat,poolcode,reward,size,txcount,wallet,
2018-11-25,/coingeek.com/g1f,BSV,291814124581.0492,557419,2018-11-20 14:32:49.59192+00,f,2018-11-21 15:55:10.49453+00,CG-BSV,12.50020256,20293,1,1BnGdGkB6nWdUnBtCXasxx9wozMcfNvFZX,
2018-12-12,/bmgpool.com/1dk,BSP,173216891094.25745,560448,2018-12-12 06:15:17.51969+00,f,2018-12-12 06:55:30.92652+00,CG-BMG-BSP-MIXUP,12.50014546,0,1,1DkmRkb5iQFkDu4NBysog5bugnsyx7kwtn,
2018-11-25,/coingeek.com/hp,BSP,554733047918.3038,557645,2018-11-21 21:50:14.2791+00,f,2018-11-21 22:11:04.8011+00,CG-BSP,12.50091080,11655,1,14mnwRBbt1UstJzunnepRA41k8iP6iH2x6,
2018-12-13,/coingeek.com/lk,BSP,177697452105.6672,560580,2018-12-13 04:29:19.00735+00,f,2018-12-13 05:14:35.65276+00,CG-BSP,12.50034524,0,1,1MNRjZvmz1wySaQQmnyL6AgszZHxfQxW2q,
2018-11-25,/bmgpool.com/tha,BSV,341296166868.6005,557368,2018-11-20 07:25:37.52853+00,f,2018-11-21 15:52:39.21113+00,BMG-BSV,12.51956852,1944308,10078,1Fe6KNQdTRLcebYPm8fH1G59sk6CrgbXF6,
2019-01-05,/coingeek.com/lk,BSP,145704077579.77142,563957,2019-01-05 20:20:41.77566+00,f,,CG-BSP,12.50001300,0,1,1MNRjZvmz1wySaQQmnyL6AgszZHxfQxW2q,
2018-11-26,/coingeek.com/g1f,BSP,410152972565.77313,558100,2018-11-25 06:26:58.48224+00,f,2018-11-25 07:09:04.16205+00,CG-BSP,12.50045220,0,1,1QDYkB3uDAcebj3jfLZMQE6rAeV9xApKsV,
2018-11-25,/coingeek.com/hp,BSV,484820821034.82025,557276,2018-11-19 07:15:39.77553+00,f,2018-11-21 15:49:16.91899+00,CG-BSV,12.50001724,1404,6,14mnwRBbt1UstJzunnepRA41k8iP6iH2x6,
2018-11-21,/bmgpool.com/tha,BSV,491678684196.0544,557518,2018-11-21 01:08:48.48249+00,f,2018-11-21 15:59:48.75248+00,BMG-BSV,12.50001021,763,1,1EfamYmWP12gzkD18xRnDnPR9Q1ZvTYBHo,
2018-11-26,/coingeek.com/g1f,BSP,418521885625.7524,558083,2018-11-25 03:28:39.57918+00,f,2018-11-25 04:23:23.74646+00,CG-BSP,12.50127784,0,1,1QDYkB3uDAcebj3jfLZMQE6rAeV9xApKsV,
2018-11-24,/coingeek.com/lk,BSP,381424852188.29816,558022,2018-11-24 17:41:58.66152+00,f,2018-11-24 18:23:25.80322+00,CG-BSP,12.50041347,0,1,1MNRjZvmz1wySaQQmnyL6AgszZHxfQxW2q,
2018-12-09,ISBNB5OPSC,BSP,207205365075.02475,559561,2018-12-05 23:14:12.72429+00,f,2018-12-06 00:53:09.2141+00,ANON-BSP,12.50133109,0,1,1DrNXqCj2B8FKyx66RAWDkiEJhw2yrvhT3,
2019-01-13,/bmgpool.com/1dk,BSP,133345845418.44275,564917,2019-01-12 12:32:02.10204+00,f,,CG-BMG-BSP-MIXUP,12.50000567,0,1,1DkmRkb5iQFkDu4NBysog5bugnsyx7kwtn,
2018-11-25,/coingeek.com/hp,BSP,487316010160.013,557835,2018-11-23 07:28:01.51359+00,f,2018-11-23 08:18:06.39315+00,CG-BSP,12.50000671,0,1,1HZttiVk4HikBAHnpdoV7DHKkD69JQH98o,
2018-11-25,/bmgpool.com/pTL,BSP,397485089591.85,557926,2018-11-24 02:39:56.19194+00,f,2018-11-24 03:07:30.79028+00,BMG-BSP,12.50118830,0,1,1JBR8o7nKkJxaHsewybk447xsZy1jBtcQM,
2019-01-06,/bmgpool.com/1dk,BSP,150790599982.21262,563731,2019-01-04 06:34:43.81314+00,f,,CG-BMG-BSP-MIXUP,12.50100976,0,1,1DkmRkb5iQFkDu4NBysog5bugnsyx7kwtn,
2018-11-24,/coingeek.com/hp,BSP,390804287484.0013,558050,2018-11-24 21:06:03.37877+00,f,2018-11-24 21:34:28.43412+00,CG-BSP,12.50002188,0,1,1HZttiVk4HikBAHnpdoV7DHKkD69JQH98o,
2018-11-25,/coingeek.com/hp,BSV,574315502540.949,557558,2018-11-21 06:28:04.73268+00,f,2018-11-21 16:01:39.48538+00,CG-BSV,12.50065521,7342,1,1HZttiVk4HikBAHnpdoV7DHKkD69JQH98o,
2018-12-14,/bmgpool.com/1dk,BSP,234367409851.65167,560769,2018-12-14 09:05:46.13661+00,f,2018-12-14 09:49:21.53475+00,CG-BMG-BSP-MIXUP,12.50267014,0,1,1DkmRkb5iQFkDu4NBysog5bugnsyx7kwtn,
2018-12-30,/coingeek.com/hp,BSP,113664533751.30164,562726,2018-12-28 10:01:50.94559+00,f,,CG-BSP,12.50002426,0,1,1HZttiVk4HikBAHnpdoV7DHKkD69JQH98o,
2018-11-25,/coingeek.com/lk,BSP,405732643338.2518,558079,2018-11-25 02:38:16.10492+00,f,2018-11-25 03:30:58.04489+00,CG-BSP,12.50417416,0,1,1MNRjZvmz1wySaQQmnyL6AgszZHxfQxW2q,
2018-11-21,/coingeek.com/hp,BSV,556145955097.8679,557605,2018-11-21 15:26:41.66056+00,f,2018-11-21 16:03:46.8903+00,CG-BSV,12.50121601,24036,1,1HyVj7fZiHcwvGkyVuBdHCZHVQdvVtwZvj,
2018-12-02,/bmgpool.com/pTL,BSP,179633770912.9214,558761,2018-11-30 10:38:22.5621+00,f,2018-11-30 11:04:01.37306+00,BMG-BSP,12.51391385,0,1,1JBR8o7nKkJxaHsewybk447xsZy1jBtcQM,
2018-12-02,/coingeek.com/hp,BSP,213401453327.78577,558852,2018-11-30 23:20:58.99912+00,f,2018-12-01 00:30:10.20459+00,CG-BSP,12.50004974,0,1,1HZttiVk4HikBAHnpdoV7DHKkD69JQH98o,
2018-12-16,ISBNB5OPSC,BSP,128370411953.13907,560966,2018-12-16 00:16:48.71649+00,f,2018-12-16 00:51:12.5896+00,ANON-BSP,12.50017426,0,1,1DrNXqCj2B8FKyx66RAWDkiEJhw2yrvhT3,
2018-11-25,/coingeek.com/hp,BSV,484820821034.82025,557276,2018-11-19 07:15:39.77553+00,f,2018-11-21 15:49:16.91899+00,CG-BSV,12.50001724,1404,6,1HZttiVk4HikBAHnpdoV7DHKkD69JQH98o,
2018-11-25,/coingeek.com/g1f,BSP,535704155338.7171,557696,2018-11-22 06:45:30.23769+00,f,2018-11-22 07:26:08.321+00,CG-BSP,12.50048633,42898,1,1Ay58vviKUCifNYP5sqbgBeZ1s9AbGhg1f,
2018-11-25,/coingeek.com/hp,BSP,556455182762.643,557691,2018-11-22 06:03:42.05006+00,f,2018-11-22 06:45:35.61906+00,CG-BSP,12.50165527,9808,1,1HyVj7fZiHcwvGkyVuBdHCZHVQdvVtwZvj,
2018-11-26,/coingeek.com/hp,BSP,420159386851.7426,558082,2018-11-25 03:16:50.47613+00,f,2018-11-25 04:12:50.06619+00,CG-BSP,12.50144570,0,1,14mnwRBbt1UstJzunnepRA41k8iP6iH2x6,
2019-01-16,/coingeek.com/g1f,BSP,156110722521.24835,565440,2019-01-16 04:45:36.02223+00,f,,CG-BSP,12.50197341,0,1,1QDYkB3uDAcebj3jfLZMQE6rAeV9xApKsV,
2018-11-25,/coingeek.com/hp,BSP,379230736374.4502,558138,2018-11-25 13:42:40.92796+00,f,2018-11-25 15:54:25.41794+00,CG-BSP,12.50000000,0,1,1HyVj7fZiHcwvGkyVuBdHCZHVQdvVtwZvj,
2019-01-13,ISBNB5OPSC,BSP,125720791570.57468,564809,2019-01-11 21:56:55.44519+00,f,,ANON-BSP,12.50005195,0,1,1DrNXqCj2B8FKyx66RAWDkiEJhw2yrvhT3,
2018-12-27,ISBNB5OPSC,BSP,121200516256.39404,562532,2018-12-27 01:14:45.4873+00,f,,ANON-BSP,12.57618766,0,1,1DrNXqCj2B8FKyx66RAWDkiEJhw2yrvhT3,
2019-01-07,/coingeek.com/lk,BSP,126057077499.83409,564222,2019-01-07 18:39:28.3418+00,f,,CG-BSP,12.50063553,0,1,1MNRjZvmz1wySaQQmnyL6AgszZHxfQxW2q,
2019-01-06,/bmgpool.com/1dk,BSP,117766310146.60243,563312,2019-01-01 10:44:10.87799+00,f,,CG-BMG-BSP-MIXUP,12.50002528,0,1,1DkmRkb5iQFkDu4NBysog5bugnsyx7kwtn,
2018-12-07,ISBNB5OPSC,BSP,214388770451.53006,559711,2018-12-07 01:00:26.86321+00,f,2018-12-07 02:31:27.58116+00,ANON-BSP,12.50629639,0,1,1DrNXqCj2B8FKyx66RAWDkiEJhw2yrvhT3,
2018-12-30,/bmgpool.com/1dk,BSP,142456223177.0512,562256,2018-12-25 01:41:17.44796+00,f,,CG-BMG-BSP-MIXUP,12.50001019,0,1,1DkmRkb5iQFkDu4NBysog5bugnsyx7kwtn,
2018-11-25,/coingeek.com/g1f,BSV,414639658687.0841,557492,2018-11-20 21:40:19.9539+00,f,2018-11-21 15:58:32.90888+00,CG-BSV,12.50023726,10102,1,1BnGdGkB6nWdUnBtCXasxx9wozMcfNvFZX,
2018-12-23,ISBNB5OPSC,BSP,159792464876.10306,561343,2018-12-18 13:20:34.20667+00,f,2018-12-18 13:53:54.31152+00,ANON-BSP,12.50006783,0,1,1DrNXqCj2B8FKyx66RAWDkiEJhw2yrvhT3,
2018-12-16,/bmgpool.com/1dk,BSP,131617247568.45154,560933,2018-12-15 19:42:57.23111+00,f,2018-12-15 20:38:42.22329+00,CG-BMG-BSP-MIXUP,12.50229832,0,1,1DkmRkb5iQFkDu4NBysog5bugnsyx7kwtn,
